Year|Reviewer Name|Paper ID|Research Object|Explanation for Research Object|Evaluation Method|Explanation for Evaluation Method|Guideline of Evaluation type|Property|Property Instance|Explanation for Property Instance|Metric|Explanation for Metric|Research Question / Evaluation question|Tool Prototype|Input Data|Artifact Evaluation Package available for replication?|Threats To Validity (Raw)|Threat to Validity Guidelines|Manual Comments|paperType|Threats To Validity|Industry Paper
2020|Anne Koziolek, Thomas Kühn|Verdecchia2020|Technical Dept|This is what the authors describe as contribution or result|Grounded Theory|stated by the authors|glaser1967, glaser1978, stol2016|property-as-such|Technical Debt|a property of the theory, not of architectural debt in general or even quality evolution in general|none||characterize ATD, find attributes of ATD, and develop an interpretation of ATD|none|none|no|Theory not final|none referenced|UNCLEAR: see above|full|Construct Validity|no
2019|Sophie Schulz, Jan Keim|Waegemann2019|Architecture Optimization Method|optimization of product line system architecture|Case Study|stated by the authors|none referenced|property-as-such|Feasibility|demonstrationswise|development costs||none|used|used|no|none|none referenced||full|none|no
2019|Sophie Schulz, Jan Keim|Waegemann2019|Architecture Optimization Method|optimization of product line system architecture|Case Study|stated by the authors|none referenced|property-as-such|Feasibility|demonstrationswise|unit weight||none|used|used|no|none|none referenced||full|none|no
2019|Sophie Schulz, Jan Keim|Waegemann2019|Architecture Optimization Method|optimization of product line system architecture|Case Study|stated by the authors|none referenced|property-as-such|Feasibility|demonstrationswise|unit costs||none|used|used|no|none|none referenced||full|none|no
2019|Sophie Schulz, Jan Keim|Waegemann2019|Architecture Design Method|optimization of product line system architecture|Case Study|stated by the authors|none referenced|property-as-such|Feasibility|demonstrationswise|development costs||none|used|used|no|none|none referenced||full|none|no
2019|Sophie Schulz, Jan Keim|Waegemann2019|Architecture Design Method|optimization of product line system architecture|Case Study|stated by the authors|none referenced|property-as-such|Feasibility|demonstrationswise|unit weight||none|used|used|no|none|none referenced||full|none|no
2019|Sophie Schulz, Jan Keim|Waegemann2019|Architecture Design Method|optimization of product line system architecture|Case Study|stated by the authors|none referenced|property-as-such|Feasibility|demonstrationswise|unit costs||none|used|used|no|none|none referenced||full|none|no
2020|Mahmood Al-Doori, Marco Ehl, Marco Konersmann|Werle2020|Architecture Design Method|an approach for modeling networks of data stream operations in order to predict the Performance of the resulting composed data streaming application.|Case Study|as stated by the authors|none referenced|property-as-such|Feasibility|Part of the evaluation question|Correlation|The approach predicts response times. They compare the  expected results of the approach with the actual results.|The derived evaluation question is: Is it feasable to model and simulate the timing behavior of stateful data-stream operations using our approach?|used|none|no|none|none referenced||full|none|no
2018|Sebastian Hahner, Jan-Philipp Töberg|Weyns2018|Architecture Analysis Method|"\""techniques to reason about the system and adapt it\""|Case Study|Two comparisons based on case studies|none referenced|property-in-relation|Performance |based on the metric|packet loss|Stated by the authors|-|used|used|no|no explicit section|none referenced||full|none|yes
2018|Sebastian Hahner, Jan-Philipp Töberg|Weyns2018|Architecture Analysis Method|"\""techniques to reason about the system and adapt it\""|Case Study|Two comparisons based on case studies|none referenced|property-in-relation|Performance |based on the metric|latency|Stated by the authors|-|used|used|no|no explicit section|none referenced||full|none|yes
2018|Sebastian Hahner, Jan-Philipp Töberg|Weyns2018|Architecture Analysis Method|"\""techniques to reason about the system and adapt it\""|Case Study|Two comparisons based on case studies|none referenced|property-in-relation|Effectiveness|based on the metric|energy consumption|Stated by the authors|-|used|used|no|no explicit section|none referenced||full|none|yes
2018|Sebastian Hahner, Jan-Philipp Töberg|Weyns2018|Architecture Analysis Method|"\""techniques to reason about the system and adapt it\""|Case Study|Two comparisons based on case studies|none referenced|property-in-relation|Adaptability|based on the metric|Adaptation time|Stated by the authors|-|used|used|no|no explicit section|none referenced||full|none|yes
2019|Timur Sağlam, Marco Ehl|Wu2018|Architecture Evolution|as stated by the authors|Case Study|They called it pilot study, but it basically is a industrial Case Study|none referenced|property-as-such |Productivity|They want to show that they could increase productivity of the employees at Huawei when using SAI|person-months per 1000 LOC|As measured by Huawei internally|Can SAI be used as a measure to improve software productivity and efficiency |none|none|no|none|none referenced||full|none|yes
2017|Sophie Schulz, Matthias Lohr, Thomas Kühn|Yang2017|Architectural Assumptions|architectural assuptions and their management|Case Study|stated by the authors|runeson2009|property-as-such|Usefulness||Qualitiative|descriptive|How do architect perceive Architectural Assumptions?|none|none|no|evaluator bias|runeson2009|no assignment of rq to eval|full|Evaluator Bias|yes
2017|Sophie Schulz, Matthias Lohr, Thomas Kühn|Yang2017|Architectural Assumptions|architectural assuptions and their management|Case Study|stated by the authors|runeson2009|property-as-such|Usefulness||Qualitiative|descriptive|What are the activities, parctices, tools, challenges, and benefits of Architectural Assumption management?|none|none|no|evaluator bias|runeson2009|no assignment of rq to eval|full|Evaluator Bias|yes
2017|Sophie Schulz, Matthias Lohr, Thomas Kühn|Yang2017|Architectural Assumptions|architectural assuptions and their management|Case Study|stated by the authors|runeson2009|property-as-such|Usefulness||Qualitiative|descriptive|How do architect perceive Architectural Assumptions?|none|none|no|samples not representative|runeson2009|no assignment of rq to eval|full|Selection Bias|yes
2017|Sophie Schulz, Matthias Lohr, Thomas Kühn|Yang2017|Architectural Assumptions|architectural assuptions and their management|Case Study|stated by the authors|runeson2009|property-as-such|Usefulness||Qualitiative|descriptive|What are the activities, parctices, tools, challenges, and benefits of Architectural Assumption management?|none|none|no|samples not representative|runeson2009|no assignment of rq to eval|full|Selection Bias|yes
2017|Sophie Schulz, Matthias Lohr, Thomas Kühn|Yang2017|Architectural Assumptions|architectural assuptions and their management|Case Study|stated by the authors|runeson2009|property-as-such|Usefulness||Qualitiative|descriptive|How do architect perceive Architectural Assumptions?|none|none|no|construct validity|runeson2009|no assignment of rq to eval|full|Construct Validity|yes
2017|Sophie Schulz, Matthias Lohr, Thomas Kühn|Yang2017|Architectural Assumptions|architectural assuptions and their management|Case Study|stated by the authors|runeson2009|property-as-such|Usefulness||Qualitiative|descriptive|What are the activities, parctices, tools, challenges, and benefits of Architectural Assumption management?|none|none|no|construct validity|runeson2009|no assignment of rq to eval|full|Construct Validity|yes
2019|Jan-Philipp Töberg, Sophie Schulz|Yasaweerasinghelage2019|Architecture Optimization Method|The authors enhance a model-based architecture optimisation approach by adding security constraints|Case Study|authors describe one running example based on a privacy-preserving computing system called N1Analytics|none referenced|property-as-such|Feasibility|Stated by the authors|none||none|used|used|no|none|none referenced||full|none|no
2017|Jan-Philipp Töberg, Thomas Kühn|Zalewski2017|Architecture Decision Making|Identification of cognitive biases in the architecture decision making process|Questionnaire|Stated by the authors|none referenced|property-in-relation|Effectiveness|derived from research question|#Biases noted by participants|Number of stated and noticed biases by the participants|Are biases in architecture decision making commonly observed by software engineering practitioners?|none|none|no|representativeness|none referenced||full|Generalizability|no
2017|Jan-Philipp Töberg, Thomas Kühn|Zalewski2017|Architecture Decision Making|Identification of cognitive biases in the architecture decision making process|Questionnaire|Stated by the authors|none referenced|property-in-relation|Effectiveness|derived from research question|Average frequency of cases|average frequency of cases, where the effect of each bias were experienced by participants on a scale from 0 to 3 (0 = never observed, 3 = often experienced)|What are the most significant biases in architecture decision-making?|none|none|no|representativeness|none referenced||full|Generalizability|no
2017|Jan-Philipp Töberg, Thomas Kühn|Zalewski2017|Architecture Decision Making|Identification of cognitive biases in the architecture decision making process|Questionnaire|Stated by the authors|none referenced|property-in-relation|Effectiveness|derived from research question|Cognitive Biases|Stated by authors|Which of these biases result from cognitive biases inherent to the conditions of the human mind?|none|none|no|representativeness|none referenced||full|Generalizability|no
2017|Jan-Philipp Töberg, Thomas Kühn|Zalewski2017|Architecture Decision Making|Identification of cognitive biases in the architecture decision making process|Questionnaire|Stated by the authors|none referenced|property-in-relation|Effectiveness|derived from research question|Cognitive Biases|Stated by authors|Which elements of the decision-making context can bias architects’ decisions?|none|none|no|representativeness|none referenced||full|Generalizability|no
2017|Jan-Philipp Töberg, Thomas Kühn|Zalewski2017|Architecture Decision Making|Identification of cognitive biases in the architecture decision making process|Questionnaire|Stated by the authors|none referenced|property-in-relation|Effectiveness|derived from research question|Cognitive Biases|Stated by authors|Which aspects of architectural decision making are influenced by the biases that have been identified?|none|none|no|representativeness|none referenced||full|Generalizability|no
2017|Jan-Philipp Töberg, Thomas Kühn|Zalewski2017|Architecture Decision Making|Identification of cognitive biases in the architecture decision making process|Questionnaire|Stated by the authors|none referenced|property-in-relation|Effectiveness|derived from research question|Cognitive Biases|Stated by authors|How do practical conditions influence the extent of the biases’ influence on architectural decision making?|none|none|no|representativeness|none referenced||full|Generalizability|no
